id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_penerima_bantuan_iuran,persentase_penerima_bantuan_iuran,satuan,tahun
128,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PBI APBD,4.94,PERSEN,2021
129,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,PBI APBN,34.23,PERSEN,2021
130,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,PBI APBD,9.02,PERSEN,2021
131,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PBI APBN,43.18,PERSEN,2021
132,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PBI APBD,10.33,PERSEN,2021
133,32,JAWA BARAT,3213,KABUPATEN SUBANG,PBI APBN,38.45,PERSEN,2021
134,32,JAWA BARAT,3213,KABUPATEN SUBANG,PBI APBD,0.57,PERSEN,2021
135,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PBI APBN,28.54,PERSEN,2021
136,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PBI APBD,11.48,PERSEN,2021
137,32,JAWA BARAT,3215,KABUPATEN KARAWANG,PBI APBN,39.08,PERSEN,2021
138,32,JAWA BARAT,3215,KABUPATEN KARAWANG,PBI APBD,3.95,PERSEN,2021
139,32,JAWA BARAT,3216,KABUPATEN BEKASI,PBI APBN,17.93,PERSEN,2021
140,32,JAWA BARAT,3216,KABUPATEN BEKASI,PBI APBD,21.51,PERSEN,2021
141,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,PBI APBN,37.57,PERSEN,2021
142,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,PBI APBD,3.46,PERSEN,2021
143,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,PBI APBN,34.68,PERSEN,2021
144,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,PBI APBD,26.94,PERSEN,2021
145,32,JAWA BARAT,3271,KOTA BOGOR,PBI APBN,22.43,PERSEN,2021
146,32,JAWA BARAT,3271,KOTA BOGOR,PBI APBD,17.44,PERSEN,2021
147,32,JAWA BARAT,3272,KOTA SUKABUMI,PBI APBN,32.43,PERSEN,2021
148,32,JAWA BARAT,3272,KOTA SUKABUMI,PBI APBD,12.01,PERSEN,2021
149,32,JAWA BARAT,3273,KOTA BANDUNG,PBI APBN,14.59,PERSEN,2021
150,32,JAWA BARAT,3273,KOTA BANDUNG,PBI APBD,26.53,PERSEN,2021
151,32,JAWA BARAT,3274,KOTA CIREBON,PBI APBN,26.3,PERSEN,2021
152,32,JAWA BARAT,3274,KOTA CIREBON,PBI APBD,28.15,PERSEN,2021
153,32,JAWA BARAT,3275,KOTA BEKASI,PBI APBN,16.51,PERSEN,2021
154,32,JAWA BARAT,3275,KOTA BEKASI,PBI APBD,5.07,PERSEN,2021
155,32,JAWA BARAT,3276,KOTA DEPOK,PBI APBN,13.33,PERSEN,2021
156,32,JAWA BARAT,3276,KOTA DEPOK,PBI APBD,1.17,PERSEN,2021
157,32,JAWA BARAT,3277,KOTA CIMAHI,PBI APBN,20.19,PERSEN,2021
158,32,JAWA BARAT,3277,KOTA CIMAHI,PBI APBD,12.48,PERSEN,2021
159,32,JAWA BARAT,3278,KOTA TASIKMALAYA,PBI APBN,42.22,PERSEN,2021
160,32,JAWA BARAT,3278,KOTA TASIKMALAYA,PBI APBD,8.06,PERSEN,2021
161,32,JAWA BARAT,3279,KOTA BANJAR,PBI APBN,26.42,PERSEN,2021
162,32,JAWA BARAT,3279,KOTA BANJAR,PBI APBD,16.82,PERSEN,2021
